Date,Visitor,Home,goals_home,goals_visit,length,attendance,note
2015-12-08,San Jose Sharks,Calgary Flames,4,2,2:39,19289,
2015-12-08,Nashville Predators,Chicago Blackhawks,4,1,2:26,21432,
2015-12-08,Carolina Hurricanes,Dallas Stars,6,5,2:34,18287,
2015-12-08,Ottawa Senators,Florida Panthers,2,4,2:21,11571,
2015-12-08,New York Islanders,Philadelphia Flyers,3,4,2:43,18108,SO
2015-12-08,Arizona Coyotes,St. Louis Blues,4,1,2:35,16301,
2015-12-08,New Jersey Devils,Toronto Maple Leafs,3,2,2:46,19043,SO
2015-12-08,Detroit Red Wings,Washington Capitals,3,2,2:41,18506,SO
2015-12-09,Pittsburgh Penguins,Colorado Avalanche,2,4,2:29,15838,
2015-12-09,San Jose Sharks,Edmonton Oilers,4,3,2:40,16839,OT
2015-12-09,Boston Bruins,Montreal Canadiens,1,3,2:37,21288,
2015-12-09,New York Rangers,Vancouver Canucks,2,1,2:28,18195,
2015-12-10,Buffalo Sabres,Calgary Flames,4,3,2:33,18565,
2015-12-10,Montreal Canadiens,Detroit Red Wings,3,2,2:34,20027,
2015-12-10,Washington Capitals,Florida Panthers,4,1,2:47,12810,
2015-12-10,Chicago Blackhawks,Nashville Predators,5,1,2:31,17113,
2015-12-10,Philadelphia Flyers,St. Louis Blues,2,4,2:27,14428,
2015-12-10,Ottawa Senators,Tampa Bay Lightning,4,1,2:32,19092,
2015-12-10,Columbus Blue Jackets,Winnipeg Jets,6,4,2:34,15294,
2015-12-11,Carolina Hurricanes,Anaheim Ducks,1,5,2:27,17174,
2015-12-11,Minnesota Wild,Arizona Coyotes,2,1,2:36,14404,OT
2015-12-11,Winnipeg Jets,Chicago Blackhawks,2,0,2:22,22021,
2015-12-11,Philadelphia Flyers,Dallas Stars,3,1,2:35,18532,
2015-12-11,New York Rangers,Edmonton Oilers,7,5,2:39,16839,
2015-12-11,Detroit Red Wings,New Jersey Devils,3,2,2:34,16514,OT
2015-12-11,Los Angeles Kings,Pittsburgh Penguins,2,3,2:51,18489,SO
2015-12-12,Carolina Hurricanes,Arizona Coyotes,4,5,2:34,12668,OT
2015-12-12,Florida Panthers,Boston Bruins,3,1,2:31,17565,
2015-12-12,Los Angeles Kings,Buffalo Sabres,2,1,2:32,18133,OT
2015-12-12,New York Islanders,Columbus Blue Jackets,2,3,2:29,12342,OT
2015-12-12,New York Rangers,Calgary Flames,5,4,2:32,19289,OT
2015-12-12,Ottawa Senators,Montreal Canadiens,3,1,2:36,21288,
2015-12-12,Colorado Avalanche,Nashville Predators,2,3,2:36,17113,
2015-12-12,Minnesota Wild,San Jose Sharks,0,2,2:25,16766,
2015-12-12,Dallas Stars,St. Louis Blues,3,0,2:33,15023,
2015-12-12,Washington Capitals,Tampa Bay Lightning,1,2,2:32,19092,
2015-12-13,Vancouver Canucks,Chicago Blackhawks,4,0,2:23,21711,
2015-12-13,New Jersey Devils,New York Islanders,4,0,2:25,13259,
2015-12-13,Colorado Avalanche,St. Louis Blues,1,3,2:19,17961,
2015-12-14,Edmonton Oilers,Boston Bruins,2,3,2:38,17565,OT
2015-12-14,Tampa Bay Lightning,Columbus Blue Jackets,1,2,2:27,12494,
2015-12-14,Buffalo Sabres,Detroit Red Wings,1,2,2:26,20027,
2015-12-14,Los Angeles Kings,Ottawa Senators,5,3,2:32,17829,
2015-12-14,Washington Capitals,Pittsburgh Penguins,1,4,2:36,18520,
2015-12-15,New Jersey Devils,Buffalo Sabres,0,2,2:22,18297,
2015-12-15,Colorado Avalanche,Chicago Blackhawks,0,3,2:24,21473,
2015-12-15,Columbus Blue Jackets,Dallas Stars,5,1,2:31,18232,
2015-12-15,Vancouver Canucks,Minnesota Wild,6,2,2:31,18804,
2015-12-15,San Jose Sharks,Montreal Canadiens,1,3,2:26,21288,
2015-12-15,Calgary Flames,Nashville Predators,1,2,2:26,15431,OT
2015-12-15,Florida Panthers,New York Islanders,1,5,2:27,13656,
2015-12-15,Edmonton Oilers,New York Rangers,4,2,2:21,18006,
2015-12-15,Carolina Hurricanes,Philadelphia Flyers,4,3,2:29,18205,OT
2015-12-15,Tampa Bay Lightning,Toronto Maple Leafs,4,5,2:38,18989,OT
2015-12-15,St. Louis Blues,Winnipeg Jets,3,4,2:26,15294,
2015-12-16,Pittsburgh Penguins,Boston Bruins,3,0,2:34,17565,
2015-12-16,Ottawa Senators,Washington Capitals,2,1,2:27,18506,
2015-12-17,Columbus Blue Jackets,Arizona Coyotes,5,7,2:32,11120,
2015-12-17,Anaheim Ducks,Buffalo Sabres,3,0,2:31,18801,
2015-12-17,Edmonton Oilers,Chicago Blackhawks,4,0,2:25,21451,
2015-12-17,New York Islanders,Colorado Avalanche,2,1,2:23,15811,
2015-12-17,Calgary Flames,Dallas Stars,1,3,2:25,18410,
2015-12-17,New York Rangers,Minnesota Wild,5,2,2:27,19090,
2015-12-17,Los Angeles Kings,Montreal Canadiens,0,3,2:29,21288,
2015-12-17,Florida Panthers,New Jersey Devils,1,5,2:21,12512,
2015-12-17,Vancouver Canucks,Philadelphia Flyers,2,0,2:33,17943,
2015-12-17,Nashville Predators,St. Louis Blues,2,1,2:26,17882,
2015-12-17,San Jose Sharks,Toronto Maple Leafs,4,5,2:41,18966,OT
2015-12-18,Florida Panthers,Carolina Hurricanes,0,2,2:24,10511,
2015-12-18,Vancouver Canucks,Detroit Red Wings,3,4,2:44,20027,SO
2015-12-18,San Jose Sharks,Ottawa Senators,4,2,2:34,17990,
2015-12-18,Boston Bruins,Pittsburgh Penguins,2,6,2:34,18585,
2015-12-18,New York Rangers,Winnipeg Jets,5,2,2:25,15294,
2015-12-18,Tampa Bay Lightning,Washington Capitals,5,3,2:25,18506,
2015-12-19,New York Islanders,Arizona Coyotes,1,0,2:23,11878,
2015-12-19,Chicago Blackhawks,Buffalo Sabres,2,3,2:38,18870,SO
2015-12-19,Philadelphia Flyers,Columbus Blue Jackets,3,2,2:44,14030,SO
2015-12-19,Edmonton Oilers,Colorado Avalanche,5,1,2:24,17570,
2015-12-19,Montreal Canadiens,Dallas Stars,6,2,2:35,18532,
2015-12-19,Anaheim Ducks,New Jersey Devils,1,2,2:20,16514,
2015-12-19,Minnesota Wild,Nashville Predators,3,2,2:26,17117,
2015-12-19,Carolina Hurricanes,Pittsburgh Penguins,1,2,2:17,18590,
2015-12-19,Calgary Flames,St. Louis Blues,3,2,2:33,18163,
2015-12-19,Los Angeles Kings,Toronto Maple Leafs,5,0,2:28,19362,
2015-12-20,New Jersey Devils,Boston Bruins,2,1,2:43,17565,SO
2015-12-20,San Jose Sharks,Chicago Blackhawks,4,3,2:41,22096,OT
2015-12-20,Calgary Flames,Detroit Red Wings,4,2,2:25,20027,
2015-12-20,Vancouver Canucks,Florida Panthers,5,4,4:31,13459,SO
2015-12-20,Washington Capitals,New York Rangers,3,7,2:31,18006,
2015-12-20,Ottawa Senators,Tampa Bay Lightning,5,2,2:32,19092,
2015-12-21,Washington Capitals,Carolina Hurricanes,1,2,2:17,13228,
2015-12-21,Toronto Maple Leafs,Colorado Avalanche,4,7,2:35,16084,
2015-12-21,Winnipeg Jets,Edmonton Oilers,3,1,2:37,16839,
2015-12-21,Dallas Stars,Minnesota Wild,3,6,2:41,19047,
2015-12-21,Montreal Canadiens,Nashville Predators,5,1,2:32,17113,
2015-12-21,Anaheim Ducks,New York Islanders,5,2,2:26,13578,
2015-12-21,St. Louis Blues,Philadelphia Flyers,4,3,2:31,19676,
2015-12-21,Columbus Blue Jackets,Pittsburgh Penguins,5,2,2:35,18602,
2015-12-22,Toronto Maple Leafs,Arizona Coyotes,3,2,2:39,12234,
2015-12-22,St. Louis Blues,Boston Bruins,0,2,2:26,17565,
2015-12-22,Winnipeg Jets,Calgary Flames,4,1,2:35,19289,
2015-12-22,Chicago Blackhawks,Dallas Stars,4,0,2:26,18532,
2015-12-22,New Jersey Devils,Detroit Red Wings,3,4,2:32,20027,
2015-12-22,Ottawa Senators,Florida Panthers,2,1,2:41,14538,SO
2015-12-22,San Jose Sharks,Los Angeles Kings,3,5,2:33,18493,
2015-12-22,Montreal Canadiens,Minnesota Wild,2,1,2:31,19105,
2015-12-22,Anaheim Ducks,New York Rangers,3,2,2:38,18006,OT
2015-12-22,Vancouver Canucks,Tampa Bay Lightning,1,2,2:30,19092,
2015-12-26,Los Angeles Kings,Arizona Coyotes,3,4,2:36,15277,OT
2015-12-26,Buffalo Sabres,Boston Bruins,3,6,2:27,17565,
2015-12-26,New Jersey Devils,Carolina Hurricanes,3,1,2:15,11654,
2015-12-26,Pittsburgh Penguins,Minnesota Wild,1,3,2:30,19234,
2015-12-26,Detroit Red Wings,Nashville Predators,2,3,2:26,17208,
2015-12-26,Dallas Stars,St. Louis Blues,3,2,2:51,19185,SO
2015-12-26,Columbus Blue Jackets,Tampa Bay Lightning,5,2,2:38,19092,
2015-12-26,Edmonton Oilers,Vancouver Canucks,2,1,2:34,18570,OT
2015-12-26,Montreal Canadiens,Washington Capitals,3,1,2:31,18506,
2015-12-27,Philadelphia Flyers,Anaheim Ducks,4,2,2:29,17322,
2015-12-27,Edmonton Oilers,Calgary Flames,5,3,2:26,19289,
2015-12-27,Carolina Hurricanes,Chicago Blackhawks,1,2,2:22,22157,
2015-12-27,Arizona Coyotes,Colorado Avalanche,1,2,2:41,18064,OT
2015-12-27,St. Louis Blues,Dallas Stars,3,0,2:38,18532,
2015-12-27,Columbus Blue Jackets,Florida Panthers,3,2,2:27,16902,
2015-12-27,Toronto Maple Leafs,New York Islanders,1,3,2:20,15795,
2015-12-27,Boston Bruins,Ottawa Senators,3,1,2:25,20061,
2015-12-27,Pittsburgh Penguins,Winnipeg Jets,1,0,2:20,15294,
2015-12-28,Washington Capitals,Buffalo Sabres,0,2,2:30,19070,
2015-12-28,Detroit Red Wings,Minnesota Wild,3,1,2:25,19110,
2015-12-28,New York Rangers,Nashville Predators,5,3,2:33,17317,
2015-12-28,Colorado Avalanche,San Jose Sharks,3,6,2:23,17562,
2015-12-28,Montreal Canadiens,Tampa Bay Lightning,3,4,3:00,19092,SO
2015-12-28,Los Angeles Kings,Vancouver Canucks,0,5,2:29,18570,
2015-12-29,Chicago Blackhawks,Arizona Coyotes,5,7,2:43,17197,
2015-12-29,Ottawa Senators,Boston Bruins,7,3,2:47,17565,
2015-12-29,Dallas Stars,Columbus Blue Jackets,6,3,2:38,15836,
2015-12-29,Anaheim Ducks,Calgary Flames,0,1,2:18,19289,
2015-12-29,Los Angeles Kings,Edmonton Oilers,2,5,2:30,16839,
2015-12-29,Montreal Canadiens,Florida Panthers,3,1,2:29,19822,
2015-12-29,Carolina Hurricanes,New Jersey Devils,3,2,2:25,16514,
2015-12-29,Nashville Predators,St. Louis Blues,4,3,2:43,19319,OT
2015-12-29,New York Islanders,Toronto Maple Leafs,3,6,2:32,19899,
2015-12-29,Detroit Red Wings,Winnipeg Jets,4,1,2:22,15294,
2015-12-30,New Jersey Devils,Ottawa Senators,0,3,2:15,19825,
2015-12-30,Toronto Maple Leafs,Pittsburgh Penguins,2,3,2:47,18662,SO
2015-12-30,Philadelphia Flyers,San Jose Sharks,4,2,2:32,17562,
2015-12-30,New York Rangers,Tampa Bay Lightning,2,5,2:31,19092,
2015-12-30,Buffalo Sabres,Washington Capitals,5,2,2:38,18506,
2015-12-31,Winnipeg Jets,Arizona Coyotes,4,2,2:34,14027,
2015-12-31,New York Islanders,Buffalo Sabres,1,2,2:27,19070,
2015-12-31,Washington Capitals,Carolina Hurricanes,4,2,2:26,14134,
2015-12-31,Los Angeles Kings,Calgary Flames,1,4,2:25,19289,
2015-12-31,Chicago Blackhawks,Colorado Avalanche,3,4,2:29,18048,OT
2015-12-31,Nashville Predators,Dallas Stars,5,1,2:32,18532,
2015-12-31,Pittsburgh Penguins,Detroit Red Wings,2,5,2:38,20027,
2015-12-31,Anaheim Ducks,Edmonton Oilers,0,1,2:26,16839,
2015-12-31,Minnesota Wild,St. Louis Blues,1,3,2:20,19194,
2016-01-01,Montreal Canadiens,Boston Bruins,1,5,2:52,67246,
2016-01-01,Anaheim Ducks,Vancouver Canucks,2,1,2:30,18570,SO
2016-01-02,Detroit Red Wings,Buffalo Sabres,3,4,2:28,19070,
2016-01-02,Nashville Predators,Carolina Hurricanes,1,2,2:36,12149,OT
2016-01-02,Washington Capitals,Columbus Blue Jackets,5,4,2:48,17170,SO
2016-01-02,Calgary Flames,Colorado Avalanche,0,4,2:26,18087,
2016-01-02,Arizona Coyotes,Edmonton Oilers,4,3,2:47,16839,SO
2016-01-02,New York Rangers,Florida Panthers,3,0,2:25,20289,
2016-01-02,Philadelphia Flyers,Los Angeles Kings,2,1,2:33,18230,
2016-01-02,Dallas Stars,New Jersey Devils,3,2,2:31,16514,OT
2016-01-02,New York Islanders,Pittsburgh Penguins,5,2,2:28,18665,
2016-01-02,Winnipeg Jets,San Jose Sharks,1,4,2:26,17562,
2016-01-02,Minnesota Wild,Tampa Bay Lightning,3,2,2:45,19092,SO
2016-01-02,St. Louis Blues,Toronto Maple Leafs,4,1,2:37,19221,
2016-01-03,Winnipeg Jets,Anaheim Ducks,4,1,2:28,17174,
2016-01-03,Ottawa Senators,Chicago Blackhawks,3,0,2:21,22016,
2016-01-03,Minnesota Wild,Florida Panthers,2,1,2:33,15426,
2016-01-03,Dallas Stars,New York Islanders,6,5,2:36,14054,
2016-01-04,Los Angeles Kings,Colorado Avalanche,4,1,2:30,15202,
2016-01-04,Carolina Hurricanes,Edmonton Oilers,1,0,2:24,16839,OT
2016-01-04,Detroit Red Wings,New Jersey Devils,0,1,2:17,15547,
2016-01-04,Ottawa Senators,St. Louis Blues,2,3,2:39,19152,OT
2016-01-04,Arizona Coyotes,Vancouver Canucks,2,3,2:36,18377,
2016-01-05,Washington Capitals,Boston Bruins,2,3,2:26,17565,
2016-01-05,Florida Panthers,Buffalo Sabres,1,5,2:27,18560,
2016-01-05,Minnesota Wild,Columbus Blue Jackets,2,4,2:29,12411,
2016-01-05,Tampa Bay Lightning,Calgary Flames,3,1,2:21,18966,
2016-01-05,Winnipeg Jets,Nashville Predators,1,4,2:25,17113,
2016-01-05,Dallas Stars,New York Rangers,6,2,2:24,18006,
2016-01-05,Montreal Canadiens,Philadelphia Flyers,4,3,2:37,19163,
2016-01-05,Chicago Blackhawks,Pittsburgh Penguins,2,3,2:28,18658,OT
2016-01-06,Toronto Maple Leafs,Anaheim Ducks,0,4,2:35,16283,
2016-01-06,Pittsburgh Penguins,Chicago Blackhawks,3,1,2:27,21908,
2016-01-06,St. Louis Blues,Colorado Avalanche,4,3,2:34,13359,OT
2016-01-06,New Jersey Devils,Montreal Canadiens,2,1,2:30,21288,
2016-01-06,Carolina Hurricanes,Vancouver Canucks,3,2,2:23,18364,
2016-01-07,Arizona Coyotes,Calgary Flames,1,2,2:27,19272,
2016-01-07,Winnipeg Jets,Dallas Stars,2,1,2:42,18532,SO
2016-01-07,Toronto Maple Leafs,Los Angeles Kings,2,1,2:35,18230,
2016-01-07,Philadelphia Flyers,Minnesota Wild,3,4,2:34,19125,OT
2016-01-07,Washington Capitals,New York Islanders,1,4,2:22,14261,
2016-01-07,Florida Panthers,Ottawa Senators,2,3,2:25,17150,
2016-01-07,Detroit Red Wings,San Jose Sharks,1,2,2:29,16856,
2016-01-08,St. Louis Blues,Anaheim Ducks,4,3,2:55,16250,SO
2016-01-08,Columbus Blue Jackets,Carolina Hurricanes,4,1,2:36,14241,
2016-01-08,Buffalo Sabres,Chicago Blackhawks,3,1,2:28,22142,
2016-01-08,Nashville Predators,Colorado Avalanche,5,3,2:30,17680,
2016-01-08,Tampa Bay Lightning,Edmonton Oilers,2,3,2:32,16839,
2016-01-08,Boston Bruins,New Jersey Devils,1,4,2:18,16514,
2016-01-09,Nashville Predators,Arizona Coyotes,4,0,2:27,12345,
2016-01-09,Carolina Hurricanes,Columbus Blue Jackets,3,4,2:36,16532,OT
2016-01-09,Minnesota Wild,Dallas Stars,1,2,2:34,18532,
2016-01-09,St. Louis Blues,Los Angeles Kings,1,2,2:47,18413,SO
2016-01-09,Pittsburgh Penguins,Montreal Canadiens,1,3,2:34,21288,
2016-01-09,Washington Capitals,New York Rangers,3,4,2:35,18006,OT
2016-01-09,Boston Bruins,Ottawa Senators,2,1,2:38,19125,OT
2016-01-09,New York Islanders,Philadelphia Flyers,4,0,2:25,19874,
2016-01-09,Toronto Maple Leafs,San Jose Sharks,7,0,2:26,17281,
2016-01-09,Tampa Bay Lightning,Vancouver Canucks,2,3,2:37,18335,OT
2016-01-10,Detroit Red Wings,Anaheim Ducks,1,2,2:26,17174,
2016-01-10,Colorado Avalanche,Chicago Blackhawks,6,3,2:23,22007,
2016-01-10,Florida Panthers,Edmonton Oilers,1,2,2:25,16839,
2016-01-10,New Jersey Devils,Minnesota Wild,1,2,2:19,19028,
2016-01-10,Buffalo Sabres,Winnipeg Jets,2,4,2:44,15294,
2016-01-10,Ottawa Senators,Washington Capitals,7,1,2:32,18506,
2016-01-11,San Jose Sharks,Calgary Flames,4,5,2:41,19227,
2016-01-11,Detroit Red Wings,Los Angeles Kings,4,2,2:23,18230,
2016-01-11,Boston Bruins,New York Rangers,2,1,2:21,18006,
2016-01-11,Florida Panthers,Vancouver Canucks,3,2,2:28,18570,OT
2016-01-12,Edmonton Oilers,Arizona Coyotes,4,3,2:38,11391,OT
2016-01-12,Pittsburgh Penguins,Carolina Hurricanes,3,2,2:21,13012,OT
2016-01-12,Nashville Predators,Chicago Blackhawks,3,2,2:28,21618,
2016-01-12,Tampa Bay Lightning,Colorado Avalanche,0,4,2:18,14227,
2016-01-12,Buffalo Sabres,Minnesota Wild,2,3,2:33,19034,
2016-01-12,Columbus Blue Jackets,New York Islanders,5,2,2:25,13115,
2016-01-12,New Jersey Devils,St. Louis Blues,5,2,2:39,17951,
2016-01-12,San Jose Sharks,Winnipeg Jets,1,4,2:28,15294,
2016-01-13,Ottawa Senators,Anaheim Ducks,4,1,2:26,15791,
2016-01-13,Florida Panthers,Calgary Flames,6,0,2:21,18702,
2016-01-13,Boston Bruins,Philadelphia Flyers,3,2,2:22,19704,
2016-01-13,Columbus Blue Jackets,Toronto Maple Leafs,1,3,2:32,18903,
2016-01-14,Detroit Red Wings,Arizona Coyotes,2,3,2:31,12014,OT
2016-01-14,New Jersey Devils,Colorado Avalanche,3,0,2:19,15636,
2016-01-14,Chicago Blackhawks,Montreal Canadiens,1,2,2:28,21288,
2016-01-14,New York Rangers,New York Islanders,3,1,2:22,15795,
2016-01-14,Edmonton Oilers,San Jose Sharks,2,1,2:29,15379,SO
2016-01-14,Carolina Hurricanes,St. Louis Blues,1,4,2:23,19282,
2016-01-14,Nashville Predators,Winnipeg Jets,5,4,2:38,15294,OT
2016-01-14,Vancouver Canucks,Washington Capitals,4,1,2:23,18605,
2016-01-15,Dallas Stars,Anaheim Ducks,4,2,2:36,16201,
2016-01-15,Boston Bruins,Buffalo Sabres,1,4,2:30,18704,
2016-01-15,Vancouver Canucks,Carolina Hurricanes,2,3,2:30,11657,OT
2016-01-15,Winnipeg Jets,Minnesota Wild,0,1,2:19,19222,
2016-01-15,Pittsburgh Penguins,Tampa Bay Lightning,5,4,2:42,19092,OT
2016-01-15,Chicago Blackhawks,Toronto Maple Leafs,1,4,2:30,20049,
2016-01-16,New Jersey Devils,Arizona Coyotes,0,2,2:25,11745,
2016-01-16,Toronto Maple Leafs,Boston Bruins,3,2,2:41,17565,
2016-01-16,Washington Capitals,Buffalo Sabres,4,1,2:28,19070,
2016-01-16,Colorado Avalanche,Columbus Blue Jackets,2,1,2:28,17776,
2016-01-16,Calgary Flames,Edmonton Oilers,2,1,2:45,16839,SO
2016-01-16,Ottawa Senators,Los Angeles Kings,3,5,2:29,18230,
2016-01-16,Minnesota Wild,Nashville Predators,3,0,2:29,17302,
2016-01-16,New York Rangers,Philadelphia Flyers,2,3,2:36,19843,SO
2016-01-16,Dallas Stars,San Jose Sharks,4,3,2:38,17562,OT
2016-01-16,Montreal Canadiens,St. Louis Blues,4,3,2:48,19501,OT
2016-01-17,Los Angeles Kings,Anaheim Ducks,2,3,2:40,17227,
2016-01-17,Montreal Canadiens,Chicago Blackhawks,5,2,2:25,22030,
2016-01-17,Philadelphia Flyers,Detroit Red Wings,1,2,2:39,20027,SO
2016-01-17,Vancouver Canucks,New York Islanders,1,2,2:50,15795,SO
2016-01-17,Carolina Hurricanes,Pittsburgh Penguins,5,0,2:28,18528,
2016-01-17,Florida Panthers,Tampa Bay Lightning,3,1,2:24,19092,
2016-01-17,New York Rangers,Washington Capitals,5,2,2:39,18506,
2016-01-18,Buffalo Sabres,Arizona Coyotes,1,2,2:32,11134,
2016-01-18,Edmonton Oilers,Florida Panthers,2,4,2:27,14897,
2016-01-18,Ottawa Senators,San Jose Sharks,3,4,2:38,16619,SO
2016-01-18,Pittsburgh Penguins,St. Louis Blues,5,2,2:30,19312,
2016-01-18,Colorado Avalanche,Winnipeg Jets,1,2,2:20,15294,
2016-01-19,Washington Capitals,Columbus Blue Jackets,3,6,2:28,12291,
2016-01-19,Dallas Stars,Los Angeles Kings,3,2,2:34,18230,
2016-01-19,Boston Bruins,Montreal Canadiens,1,4,2:28,21288,
2016-01-19,Calgary Flames,New Jersey Devils,4,2,2:22,14319,
2016-01-19,Chicago Blackhawks,Nashville Predators,1,4,2:24,17122,
2016-01-19,Vancouver Canucks,New York Rangers,3,2,2:31,18006,OT
2016-01-19,Toronto Maple Leafs,Philadelphia Flyers,2,3,2:38,19319,
2016-01-19,Edmonton Oilers,Tampa Bay Lightning,6,4,2:31,19092,
2016-01-20,Minnesota Wild,Anaheim Ducks,3,1,2:28,15962,
2016-01-20,Buffalo Sabres,Colorado Avalanche,2,1,2:20,13274,
2016-01-20,St. Louis Blues,Detroit Red Wings,1,2,2:29,20027,
2016-01-21,San Jose Sharks,Arizona Coyotes,1,3,2:22,12251,
2016-01-21,Vancouver Canucks,Boston Bruins,2,4,2:25,17565,
2016-01-21,Calgary Flames,Columbus Blue Jackets,2,4,2:12,12492,
2016-01-21,Edmonton Oilers,Dallas Stars,3,2,2:35,18532,
2016-01-21,Minnesota Wild,Los Angeles Kings,0,3,2:37,18230,
2016-01-21,Ottawa Senators,New Jersey Devils,6,3,2:29,14772,
2016-01-21,Philadelphia Flyers,Pittsburgh Penguins,4,3,2:39,18652,
2016-01-21,Chicago Blackhawks,Tampa Bay Lightning,2,1,2:22,19092,
2016-01-21,Carolina Hurricanes,Toronto Maple Leafs,0,1,2:29,18981,OT
2016-01-21,Nashville Predators,Winnipeg Jets,1,4,2:24,15294,
2016-01-22,Detroit Red Wings,Buffalo Sabres,0,3,2:30,18601,
2016-01-22,New York Rangers,Carolina Hurricanes,1,4,2:20,14102,
2016-01-22,St. Louis Blues,Colorado Avalanche,2,1,2:48,16366,SO
2016-01-22,Chicago Blackhawks,Florida Panthers,4,0,2:21,19343,
2016-01-22,New York Islanders,Ottawa Senators,2,5,2:26,18305,
2016-01-23,Los Angeles Kings,Arizona Coyotes,3,2,2:33,14195,
2016-01-23,Columbus Blue Jackets,Boston Bruins,3,2,2:44,17565,SO
2016-01-23,Colorado Avalanche,Dallas Stars,1,3,2:32,18532,
2016-01-23,Anaheim Ducks,Detroit Red Wings,3,4,2:33,20027,
2016-01-23,Nashville Predators,Edmonton Oilers,1,4,2:31,16839,
2016-01-23,Tampa Bay Lightning,Florida Panthers,5,2,2:30,19626,
2016-01-23,Vancouver Canucks,Pittsburgh Penguins,5,4,2:18,18539,
2016-01-23,Minnesota Wild,San Jose Sharks,4,3,2:38,16956,
2016-01-23,Montreal Canadiens,Toronto Maple Leafs,2,3,2:49,19807,SO
2016-01-23,New Jersey Devils,Winnipeg Jets,1,3,2:21,15294,
2016-01-24,Calgary Flames,Carolina Hurricanes,5,2,2:34,9934,
2016-01-24,St. Louis Blues,Chicago Blackhawks,2,0,2:21,22138,
2016-01-24,New York Rangers,Ottawa Senators,3,0,2:20,18940,
2016-01-24,Los Angeles Kings,San Jose Sharks,2,3,2:39,17562,OT
2016-01-25,Montreal Canadiens,Columbus Blue Jackets,5,2,2:30,11927,
2016-01-25,Calgary Flames,Dallas Stars,2,1,2:25,18532,
2016-01-25,Arizona Coyotes,Minnesota Wild,1,2,2:48,19020,SO
2016-01-25,Detroit Red Wings,New York Islanders,2,4,2:21,12086,
2016-01-25,Buffalo Sabres,New York Rangers,6,3,2:30,18006,
2016-01-25,Boston Bruins,Philadelphia Flyers,2,3,2:36,19738,
2016-01-26,Anaheim Ducks,Boston Bruins,2,6,2:40,17565,
2016-01-26,Chicago Blackhawks,Carolina Hurricanes,5,0,2:27,14588,
2016-01-26,Toronto Maple Leafs,Florida Panthers,5,1,2:31,14585,
2016-01-26,Columbus Blue Jackets,Montreal Canadiens,2,5,2:33,21288,
2016-01-26,Buffalo Sabres,Ottawa Senators,2,3,2:36,16815,
2016-01-26,New Jersey Devils,Pittsburgh Penguins,2,0,2:28,18442,
2016-01-26,Colorado Avalanche,San Jose Sharks,6,1,2:34,17424,
2016-01-26,Nashville Predators,Vancouver Canucks,1,2,2:17,18570,
2016-01-26,Arizona Coyotes,Winnipeg Jets,5,2,2:27,15294,
2016-01-27,Nashville Predators,Calgary Flames,1,2,2:30,19289,
2016-01-27,Colorado Avalanche,Los Angeles Kings,3,4,2:29,18230,
2016-01-27,Toronto Maple Leafs,Tampa Bay Lightning,1,0,2:30,19092,
2016-01-27,Philadelphia Flyers,Washington Capitals,3,4,2:38,18506,OT
2016-02-02,San Jose Sharks,Anaheim Ducks,3,2,2:27,16588,
2016-02-02,Los Angeles Kings,Arizona Coyotes,2,6,2:36,12261,
2016-02-02,Toronto Maple Leafs,Boston Bruins,3,4,2:41,17565,OT
2016-02-02,Chicago Blackhawks,Colorado Avalanche,1,2,2:26,18007,
2016-02-02,Columbus Blue Jackets,Edmonton Oilers,5,1,2:34,16839,
2016-02-02,New York Rangers,New Jersey Devils,3,2,2:29,16514,
2016-02-02,St. Louis Blues,Nashville Predators,0,1,2:22,16045,
2016-02-02,Minnesota Wild,New York Islanders,5,3,2:39,13331,
2016-02-02,Montreal Canadiens,Philadelphia Flyers,4,2,2:31,19031,
2016-02-02,Ottawa Senators,Pittsburgh Penguins,6,5,2:41,18420,
2016-02-02,Dallas Stars,Winnipeg Jets,3,5,2:24,15294,
2016-02-02,Florida Panthers,Washington Capitals,2,5,2:35,18506,
2016-02-03,Carolina Hurricanes,Calgary Flames,4,1,2:22,18895,
2016-02-03,Buffalo Sabres,Montreal Canadiens,2,4,2:31,21288,
2016-02-03,Detroit Red Wings,Tampa Bay Lightning,3,1,2:26,19092,
2016-02-04,Chicago Blackhawks,Arizona Coyotes,4,5,2:46,17125,OT
2016-02-04,Boston Bruins,Buffalo Sabres,2,3,2:39,18845,SO
2016-02-04,Dallas Stars,Colorado Avalanche,3,4,2:38,14351,OT
2016-02-04,Detroit Red Wings,Florida Panthers,6,3,2:32,16991,
2016-02-04,Anaheim Ducks,Los Angeles Kings,2,4,2:33,18230,
2016-02-04,Philadelphia Flyers,Nashville Predators,3,6,2:27,17113,
2016-02-04,Minnesota Wild,New York Rangers,4,2,2:25,18006,
2016-02-04,Edmonton Oilers,Ottawa Senators,2,7,2:38,18564,
2016-02-04,San Jose Sharks,St. Louis Blues,1,3,2:25,18803,
2016-02-04,New Jersey Devils,Toronto Maple Leafs,3,2,3:00,18947,SO
2016-02-04,Columbus Blue Jackets,Vancouver Canucks,1,2,2:34,18199,SO
2016-02-04,New York Islanders,Washington Capitals,3,2,2:23,18506,
2016-02-05,Arizona Coyotes,Anaheim Ducks,5,2,2:41,17342,
2016-02-05,Columbus Blue Jackets,Calgary Flames,1,2,2:29,19289,
